Int2,bolt_circle,condition,desc2,finish,indents,interchange,inventory,lugs,partnumbers,price,sizes,spokes,title,variations,vehicles,width
8826-1512,4.5,Refurbished,"15×7  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Machined,,1512,24,5,Part#: 52003368,$188.63,15,5,Jeep Wrangler 1987-1995 15″ OEM Wheel Machined,No Variations,"1987-1995 Jeep Wrangler,1987-1990 Jeep Wagoneer,1987-1993 Jeep Cherokee,1987-1992 Jeep Comanche",7
18492-68848,100,Refurbished,"18×7.5  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Machined,Ident#: 28111FL02A,68848,3,5,Part#: 28111FL02A,$286.67,18,10,2017-2021 Subaru Impreza 18″ OEM Wheel Rim Machined w/ Dark Charcoal Pockets,Machined w/ Dark Charcoal Pockets,2017-2019 Subaru Impreza,7.5
20437-10120,108,Refurbished,"18×8  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Painted,"Ident#: HS7Z1007A,Ident#: HS7C1007B1A,Ident#: HS7CB1A,Ident#: KS7C1007G1A,Ident#: KS7Z1007C,Ident#: KS7C1007B1A",10120,8,5,"Part#: HS7C1007B1A,Part#: HS7CB1A,Part#: KS7Z1007C,Part#: KS7Z1007E,Part#: KS7C1007G1A,Part#: HS7Z1007A,Part#: JS7Z1007A",$226.33,18,10,2018-2020 Ford Fusion 18″ OEM Wheel Rim Charcoal,Charcoal,2017-2020 Ford Fusion,8
21075-75221,4.5,New,"18×8  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Machined,"Ident#: 4261106F80,Ident#: 4261106F90,Ident#: 4261106E10,Ident#: 4261106F70,Ident#: 4261133D10,Ident#: 4261133D30,Ident#: BBM",75221,137,5,"Part#: 4261106J00,Part#: 4261106F80,Part#: 4261106F90,Part#: 4261106E10,Part#: 4261106F70,Part#: 4261133D10,Part#: 4261133D30",$193.03,18,20,2018-2022 Toyota Camry 18″ Wheel Rim Replica Machined w/ Black Pockets,Replica Machined w/ Black Pockets,2018-2022 Toyota Camry,8
20409-85355,112,New,"20×9.5  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Machined,"Ident#: 2224010500,Ident#: 22240105007X21,Ident#: 22240100027X45,Ident#: 22240117027756,Ident#: 222401050080",85355,74,5,"Part#: 2224010500,Part#: 22240100027X45,Part#: 222401050080,Part#: 22240105007X21",$357.93,20,14,Mercedes-Benz S550 2014-2017 20″ Rear Replica Wheel Machined,Replica Machined w/ Charcoal Pockets,"2015-2016 Mercedes-Benz S400,2016-2016 Mercedes-Benz S600,2014-2017 Mercedes-Benz S550,2014-2018 Mercedes-Benz S Class,2015-2016 Mercedes-Benz S550e,2014-2018 Mercedes-Benz CLS550",9.5
14738-10060,4.5,Refurbished,"20×8.5  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Polished,"Ident#: FB531007BA,Ident#: FB53BA,Ident#: FB531007BB",10060,7,5,"Part#: FB5Z1007C,Part#: FB531007BB",$265.95,20,10,2013-2019 Ford Explorer 20″ OEM Wheel Rim Polished,Polished,2016-2019 Ford Explorer,8.5
22192-64108,4.5,New,"18×8  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Machined,"Ident#: 42700TGGA71,Ident#: 42700TBFA91,Ident#: 42700TGGA72,Ident#: 42800TBAAC2,Ident#: TBF18080A",64108,115,5,"Part#: 42700TGGA72,Part#: 42800TBAAC2,Part#: 42700TGGA71,Part#: 42700TBFA91,Part#: 42700TBAAD1",$173.63,18,10,2021 Honda Civic 18″ Wheel Rim Replica Machined,Replica Machined,2017-2021 Honda Civic,8
20408-85353,112,New,"20×8.5  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Machined,"Ident#: 2224010400,Ident#: 22240104007X21,Ident#: 22240104007X23,Ident#: 222401040080",85353,101,5,"Part#: 2224010400,Part#: 222401040080,Part#: 22240104007X21,Part#: 22240104007X23",$299.73,20,14,Mercedes-Benz S550 2014-2017 20″ Front Replica Wheel Machined,Replica Machined w/ Charcoal Pockets,"2014-2017 Mercedes-Benz S550,2015-2016 Mercedes-Benz S400,2014-2018 Mercedes-Benz S Class,2018-2019 Mercedes-Benz S450,2015-2017 Mercedes-Benz S550e,2015-2019 Mercedes-Benz S65 AMG,2018-2019 Mercedes-Benz S560,2015-2017 Mercedes-Benz S600,2014-2019 Mercedes-Benz S63 AMG",8.5
6265-3962,108,Refurbished,"19×8  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Hyper,"Ident#: DS7C1007H1B,Ident#: DS7CH1B,Ident#: DS701007H1A",3962,27,5,Part#: DS7Z1007H,$364.17,19,10,Ford Fusion 2013-2016 19″ OEM Wheel,Hyper Silver,2013-2016 Ford Fusion,8
18615-64083,4.5,Refurbished,"19×8  5 lug wheel.  WHEEL ONLY! Does not include center cap, lugs, or TPMS sensor.",Machined,"Ident#: 42700T2AL92,Ident#: T2919080A",64083,21,5,Part#: 42700T2AL92,$198.40,19,10,Honda ACCORD 2016-2017 19″ OEM Wheel Machined,Machined w/ Black Pockets,2016-2017 Honda ACCORD,8
